Sivitinjavjericho,English Translation
-mɛɾmɛɾ,114_black
-pɪsax,115_white
-mial,116_red
-ɣɛt͡san,117_green
-məɣɛl,118_yellow
-lalamb,119_big
-wɪlwɪle,120_small
i-mʷon,121_sharp
i-papot,122_bluntdull
-muwonɣɛn,123_shyashamed
-tɛɾtɛɾa,124_old
-rot͡s,125_painfulsick
-nam,126_good
i-sat,127_bad
-wuɾatin,128_correcttrue
i-lalo,129_dirty
-mɛɾɛvrɪv,130_rotten
i-roɸ,131_heavy
-luhsax,132_far
-gəriv,133_near
-malaɣas,134_cold
-mimas,135_dry
-mimim,136_wet
nɛŋamerax,137_new
-mʷẽ,139_come
nɪ-vial,140_walk
nu-tuɾ,141_stand
ne-atlitan,142_sit
i-t͡soɸ,143_fall
nɪ-metuɾ_tuɣon,144_liedown
-ror,145_turn
-sax,146_climb
nɪ-kaɾ,147_swim
i-ɣiɣamp,148_flyverb
-wɛrɛn_lue,149_throw
i-tɛsusuɣun,150_hide
ŋor-an,151_eat
nɪ-min,152_drink
nu-mumaɸ,153_yawn
nɪ-tipis,154_spit
nɪ-metur_poɾpoɾ,155_dream
nɪ-metuɾ,156_sleep
i-meɾuv,157_live
-mɛs,158_die
-rup-in-mɛs,159_kill
ni-lɪs,160_see
no-roŋɔ,161_hear
nɪ-ŋiɾe,163_laugh
no-rat,164_cry
-sɛɾ,165_blow
i-ɣan,166_burn
asu-rur,167_sew
-rup,169_hit
-te,170_cut
-pɛrtuaɣe,171_split
-ɣil,172_dig
-xorxoɾ,173_hunt
-ustuɣɔn,174_hold
nɪ-mɪtaɣut,175_fear
-ʧɪpʷɪn,176_count
ni-lulu,178_vomit
-mʷit͡s,179_tieup
i-puɾ,181_swell
-wiɾ,182_say
-kot͡skot͡s,183_scratch
-siɾ,184_stab
-wʊl,185_buy
-vɪnaɣe,186_steal
-ruɸ,187_plant
nɪ-titin,188_cook
-soɾo,189_shoot
ᵐbas-an,190_work
-ɣiɣɛs,191_open
navil_ixormən,290_full_moon
cəpo_navil,303_half_moon
navil_ivut,364_new_moon
nemaɾ,248_dry_season
neɾen_naus,411_rainy_season
laxwantas,243_deep_ocean
namʷi,252_earthquake
laŋɾupɾup,232_cyclone
ⁿdemas_ilɜx,325_sun_shower
laŋteɾteɾ,446_storm
nevijal_sɜɾɜx,410_rainbow
mbəɾaŋ_nevat,225_cave
nijal,450_sun
nembak,208_banyan_tree
naut,291_garden
nani,229_coconut
nawop,337_coconut_sprout_meat
vʷeɾe_nawop,230_coconut_sprout
mbuwak,485_taro_wet
mbuwakro,249_taro_dry
ŋgaka,496_yam
navic,207_banana
melŋa_mbuwak_ro,453_taro_terrace
naut_ŋgaka,497_yam_garden
mbetaf,216_breadfruit
lemʷeʲaŋk,224_casava
ɸenɸu,492_taro_wild
nambuc,493_yam_wild
mboxos,401_pig_male
veɾep,398_pig_female
naul,64_worm
nalul,389_owl
ŋgəɾa,287_flying_fox
meɾe,254_eel
mbaxe,425_shark
mbətneman,213_magic
ɾup_ɾoɾomjan,467_deaden_ones_thoughts
mbʷetxevit,247_traditional_dreamer
mbotneman,247_traditional_dreamer
neman,329_magic_for_love
ɾoxo,317_traditional_medicine
mbotneman,318_traditional_doctor_male
ⁿdəmat,395_peace_ceremony
nasup,227_chief
neɾen_te_xoma_xove_nasup,462_chief_ceremony
lejat,495_female_chief
maki,400_pig_killing_ceremony
reveu,226_ceremony_of_the_first_harvest
naxmel_tam,372_offerings_to_ancestors
lexan,487_wedding
remʷe,217_bride_price
neŋkel,428_sister_exchange
tamtam,324_woman_who_married_brother_of_dead_husband
meɾetuʷe,198_ancestor
namum,442_spirit_human
ⁿdemas,242_spirit
mbʷealo,194_afterlife
calfeɾawon_naut,475_direction_inland
ⁿdas,476_direction_sea
naxmel_tam,413_restricted_place
ixoɾ,414_restriction_taboo
velvel,409_prepare_taboo
wecpaŋ,304_heart
mbitin,478_umbilical_cord
nuʷa_na_lele_ciblax,197_amniotic_fluid
ⁿdaŋ_na_lele_ciblax,403_placenta
neŋkus,360_piercing_nose
ɾuɾ_mboron,250_ear_piercing
nombas,357_penis_sheath
naxot,334_mask
necɾo,320_leaves_for_dance
nəvau,323_leaves_for_making_mats
nijat,322_leaves_for_house
naxamal,332_gathering_house_for_men
woceɾceɾ,227_chief
necaɾ,440_space_for_dancing_ceremony
nuʷak,223_canoe
nuʷak_naxpan,418_sailing_canoe
nevnar_isijan,408_pregnant
poɾo,338_menstruation
saŋavil_romana_soxal,257_eleven
saŋavil_romana_iɾu,477_twelve
saŋavil_romana_itil,459_thirteen
saŋavil_romana_ifat,288_fourteen
saŋavil_romana_ilim,284_fifteen
saŋavil_romana_xon,430_sixteen
saŋavil_romana_xəmbɯt,423_seventeen
saŋavil_romana_xoel,255_eighteen
saŋavil_romana_xesif,367_nineteen
ŋovil_til,460_thirty
ŋovil_vat,289_forty
ŋovil_xon,431_sixty
ŋovil_xəmbət,424_seventy
ŋovil_xoel,256_eighty
ŋovil_xesip,368_ninety
nuʷel_natop,251_earth_oven
nevet_natop,445_oven_stones
ɾoxo_nalok,321_leaves_for_covering_oven
neŋgalvat,474_wood_for_moving_stones
lok_nemət,474_wood_for_moving_stones
tutu,373_brother_older
pupu,268_grandfather_paternal
tate_welwele,280_uncle_paternal_younger
putat,269_grandmother_paternal
wawe,273_aunt_paternal_older
tate,78_father
wawe_welwele,281_aunt_paternal_younger
putat,299_grandmother_maternal
pupu,298_grandfather_maternal
lele,346_uncle_maternal_older
merak,77_mother
pepe,77_mother
lele_welwele,354_uncle_maternal_younger
putat,299_grandmother_maternal
pepe_lalam,347_aunt_maternal_older
pepe_welwele,355_aunt_maternal_younger
tutu_lalam,373_brother_older
tesuk,499_younger_brother
suxosik_lalam,381_sister_older
suxosik_welwele,498_younger_sister
tutu,264_first_cousin_male_paternal_uncle
suxosik,263_first_cousin_female_paternal_uncle
tat_lalo,277_first_cousin_male_paternal_aunt
wawe_faxaɾu,275_first_cousin_female_paternal_aunt
netuk,343_first_cousin_male_maternal_uncle
letawat,344_first_cousin_female_maternal_uncle
nawaɾan,351_first_cousin_male_maternal_aunt
suxosik,350_first_cousin_female_maternal_aunt
pʷelxak,260_father_in_law
lexteɾ_pʷelxak,341_mother_in_law
nevnar_sok,80_wife
vɪlelex,235_daughter_in_law
noxopuk,300_grandson_son
noxopuk,296_granddaughter_son
netuk,376_nephew_fraternal_older
netuk,501_nephew_fraternal_younger
noxopuk,238_grandson_daughter
lilax,237_son_in_law
noxopuk,236_granddaughter_daughter
netuk,376_nephew_fraternal_older
netuk,501_nephew_fraternal_younger
netuk,500_niece_fraternal_younger
letawat,375_niece_fraternal_older
letawat,500_niece_fraternal_younger
alak,385_nephew_sororal_older
alak,506_nephew_sororal_younger
alak,384_niece_sororal_older
alak,505_niece_sororal_younger
tate,259_uncle_paternal
wawe,274_aunt_paternal
lele,342_uncle_maternal
pepe,348_aunt_maternal
