Penour,English Translation
taharih,120_small
raun,106_leaf
tutunia,176_count
haʔao,340_fog
sapak kan,122_bluntdull
tinaʔ,77_mother
sule,92_stone
lulu,178_vomit
taun,102_fruit
pej taʔaβ,286_flow
naβul.lim,12_fifty
naone,95_sand
sosohun,456_thick
orŭ,135_dry
siɾ,166_burn
harosia,183_scratch
tahol,128_correcttrue
aloʔ,50_neck
palpalit,457_thin
plahtuah,149_throw
sehe ej,31_who
tiaʔ,56_belly
sohsiβ,142_sit
simaj,139_come
mahaβ,114_black
rono,161_hear
hanmao,153_yawn
t͡ʃinar,156_sleep
taʔawenă,124_old
hasŭ,90_smoke
turi,167_sew
lana,191_open
mahaβ,53_blood
talele,126_good
βaro,160_see
uria,172_dig
woli,185_buy
pes,60_dog
mate,158_die
los matej,159_kill
let͡ʃmar,100_lightning
levasus,448_suck
tartup,174_hold
pʷerapʷer,108_grass
laβoa,187_plant
meʔ,46_tongue
loto,154_spit
man,163_laugh
puniă,150_hide
βiae,32_where
huarin,104_root
paliɦoe,186_steal
t͡ʃurpis,173_hunt
sanaβul,10_ten
ratul,27_theyall
haʔae,74_woman
hap,89_fire
lilβahateβ,13_onehundred
lapʷena,70_tail
maur,302_to_grow
asah,37_above
rio,416_road
ran,81_day
niho,23_thou
anlaʔ,44_ear
tawarːih,426_short
susuʔ,58_breast
t͡ʃint͡ʃinar,144_liedown
paraβ,328_long
limtah,458_to_think
litiʔ,51_back
taraβ,336_meat
atol,22_weallincl
talaua,455_thatch
taʔua,306_person
paul tarrih,75_child
tuβsah,141_stand
ono,6_six
βaraw,190_work
nonoʔ,43_nose
lima,5_five
pʷar,67_spider
