Linduri,English Translation
tamamasa,126_good
rerej,160_see
eli,172_dig
wolwol,185_buy
woj,60_dog
maːte,158_die
rupun,159_kill
βilej,100_lightning
iːmesusu,448_suck
ka,174_hold
palis,108_grass
laːβo,187_plant
memeka,46_tongue
loːto,154_spit
nisa,163_laugh
tani punaj,150_hide
aːβea,32_where
arina,104_root
βarun,483_hot
araro,186_steal
t͡ʃurwoj,173_hunt
sanaβul,10_ten
ire,27_theyall
levine,74_woman
aːpu,89_fire
naβul va es,13_onehundred
βicina,70_tail
laːβo,302_to_grow
lalon,37_above
sala,416_road
raːni,81_day
iᵑɡo,23_thou
kalnaka,44_ear
putputo,426_short
susuɡa,58_breast
malamala,144_liedown
paraβ,328_long
komkomi,458_to_think
suntauɡa,51_back
masao,336_meat
iᵑɟe,22_weallincl
aːto,455_thatch
mera,306_person
natmera,75_child
tuːri,141_stand
limaraβe,6_six
umauma,190_work
lansuɣa,43_nose
molima,5_five
paːra,67_spider
