Tutuba,English Translation
tolu,69_egg
eᵐbitu,7_seven
ⁿᵈɾoːⁿᵈɾo,82_night
asaw,132_far
mifiⁿᵈɾi,148_flyverb
oro,129_dirty
masi fiⁿᵈɾiⁿᵈɾi,61_bird
meretea,138_other
noati raptia,212_to_bite
manuanu,123_shyashamed
eloso,147_swim
naᵐbon,162_sniffsmell
moᵐbohon,131_heavy
nalolo,39_ininside
matur ᵐborᵐborea,155_dream
eretinːa,465_to_choose
nosoβi,143_fall
rawa,28_theyboth
toβonasa,33_when
nolsulsua,168_pound
siaw,15_year
maira,136_wet
maːta,63_snake
elasiː latia,179_tieup
netil,362_needle
etolu,3_three
arfi ŋirŋir,66_rat
naentisin,36_that
emimini,258_fat
nanen,35_this
marau,17_left
taːri etea,14_onethousand
βanβano,140_walk
ŋaβlerua,11_twenty
ᵐbatiaɸ,94_dust
tiene,57_intestines
solsola,49_shoulder
ima,111_house
aːe,86_water
moⁿᵈɾo opo,130_rotten
nosoŋo fasia,171_split
erua,2_two
memea,116_red
moforo,121_sharp
iⁿdajfuj,25_youall
ⁿᵈɾoⁿᵈɾo,97_cloud
efeːle,146_climb
tamaku,78_father
karu,52_leg
fuluna,72_feather
matua,16_right
sol,419_salt
naŋen,26_heshe
mauria,157_live
firana,109_flower
efaːti,4_four
ᵐbelsa,34_how
mesaːna,80_wife
marfitu,133_near
nam norvej namaᵐbuku,177_breathe
ɸuluku,41_hair
noanan,151_eat
aːsi,112_rope
mera,73_man
iːsa,76_name
saina,30_what
ⁿᵈɾaua,20_webothincl
oalu,8_eight
silaːto,64_worm
uːtu,65_louse
moforfor,359_narrow
kamiruo,24_youboth
ar,311_if
narujrujna,38_below
ⁿdawa,21_webothexcl
ereːj tinːa,182_say
laŋ,98_wind
moᵐboraᵐbura,181_swell
etea,1_one
noinu,152_drink
nosamsamuj,464_to_chew
mofso,115_white
eᵐboːsi,145_turn
ⁿᵈɾofisia,180_squeeze
nontao,175_fear
ᵐbili,87_lake
nouratia,184_stab
meⁿdel,29_nonot
mesere,165_blow
ᵐbateaf,91_ash
taman natuna,79_husband
meːsa,117_green
fiae,107_wood
maːsiaw,125_painfulsick
ᵐbaːtu,40_head
mariri,134_cold
noᵐbuea,170_cut
maːŋoa,118_yellow
ⁿdaβⁿdaβsai,315_know_understand
maːsi,62_fish
uri,55_skin
meso maeto,103_woodsforest
uːsa,96_rain
na,202_at
meteⁿᵈɾui,127_bad
ᵐbiːri,99_thunder
laːmo aitati,68_mosquito
forfori,120_small
roae,106_leaf
toβtoβu,176_count
toltoli,340_fog
metevoro,122_bluntdull
tinaku,77_mother
maraⁿdi,92_stone
nolua,178_vomit
faena,102_fruit
ej mafalao,286_flow
ŋaβlelima,12_fifty
fereone,95_sand
mamatolua,456_thick
mamaːsa,135_dry
nosulia,166_burn
noarohusi,183_scratch
mamasou,128_correcttrue
tomiku,50_neck
ⁿᵈɾovⁿᵈɾovsaia,457_thin
noᵐblaina,149_throw
isenena,31_who
teaku,56_belly
noate,142_sit
ema,139_come
maeto,114_black
norŋoa,161_hear
noan momao,153_yawn
noeno,156_sleep
nosea,124_old
aːsu,90_smoke
eturua,167_sew
noβasia,191_open
ⁿdaj,53_blood
moⁿᵈɾuj,126_good
nosoar,160_see
ⁿᵈɾoelia,172_dig
roβolia,185_buy
firiu,60_dog
nomaːte,158_die
nolsua mamate,159_kill
faː,100_lightning
norveja,448_suck
notauria,174_hold
ⁿᵈɾuβⁿᵈɾuβ,108_grass
nofasoj,187_plant
meme,46_tongue
nolito,154_spit
nomaːna,163_laugh
sowa,150_hide
naᵐbe,32_where
oari,104_root
nofanaw,186_steal
noruru,173_hunt
saŋaβul,10_ten
niːra,27_theyall
βaβine,74_woman
aːᵐbu,89_fire
nalsaŋaβulu,13_onehundred
fiⁿdiːna,70_tail
nofasoj,302_to_grow
aul,37_above
saːla,416_road
ran,81_day
no,23_thou
ᵐbero,44_ear
mimiloⁿᵈɾo,426_short
suːsu,58_breast
nosi noeno,144_liedown
mamacelu,328_long
ⁿᵈɾoβⁿᵈɾoβsaj,458_to_think
aⁿᵈɾui,51_back
fisiona,336_meat
iⁿᵈɾa,22_weallincl
rotalawa,455_thatch
mera,306_person
ᵐbitinao,75_child
noturu,141_stand
eono,6_six
sasae,190_work
kalsuku,43_nose
elima,5_five
ᵐbaːra,67_spider
