Batarxopubenut,English Translation
i-lalamb,119_big
i-teɪᵐbis,120_small
i-mon,121_sharp
i-patot,122_bluntdull
i-ɣonɣon-ɪᵐbɛn,123_shyashamed
i-tɛɾtɛɾa,124_old
i-rax,125_painfulsick
i-nam,126_good
i-sat,127_bad
i-voratin,128_correcttrue
i-lo,129_dirty
i-mərɪvrɪv,130_rotten
i-roɸ,131_heavy
-xaɾahariɸ,133_near
-malɣas,134_cold
i-mimas,135_dry
i-mimim,136_wet
-mã,139_come
nɪ-vial,140_walk
-tuɾ,141_stand
m-at,142_sit
i-ʧov,143_fall
-rornox,145_turn
-sax,146_climb
-suɸ,147_swim
i-ɣiɣamb,148_flyverb
-wɛrɛn-lue,149_throw
-tososuwun,150_hide
-ŋor,151_eat
nɪ-min,152_drink
nu-mumaɸ,153_yawn
nɛ-tɪpis,154_spit
nɪ-metur_porpoɾ,155_dream
nɪ-metuɾo,156_sleep
i-meruɸ,157_live
i-mis,158_die
nu-rupin,159_kill
nɛ-lis,160_see
no-roŋa,161_hear
nɪ-vtin,162_sniffsmell
nɪ-ŋiɾa,163_laugh
nɪ-ŋar,164_cry
i-sɛɾ,165_blow
-toɣtox,168_pound
nu-rup,169_hit
nu-teʧ,170_cut
-pɛɾuɣes,171_split
-ɣil,172_dig
-ustɛɣon,174_hold
nə-mtahot,175_fear
-ʧɪpʷɪn,176_count
ne-vɪ-laŋ,177_breathe
nu-lulu,178_vomit
nɪ-miʧ,179_tieup
i-wuwun,181_swell
nu-koʧkoʧ,183_scratch
nɪ-seɾ,184_stab
-wʊl,185_buy
nɪ-vɪnaɣe,186_steal
no-roɸ,187_plant
-ⁿtitin,188_cook
nɛ-vin,189_shoot
nə-pas,190_work
-wʊx,191_open
lavxa_navil,290_full_moon
ncəpo_navil,303_half_moon
navil_iwut,364_new_moon
neɾen_nijal,248_dry_season
neɾen_naus,411_rainy_season
lafxantas,243_deep_ocean
namwi,252_earthquake
laŋi_ɾup,232_cyclone
laŋi_seɾ,446_storm
mbwɛalo,194_afterlife
mbəlon_navat,225_cave
nijal,450_sun
nijal,208_banyan_tree
naut,291_garden
nani,229_coconut
nambop,337_coconut_sprout_meat
ndepi_nani,230_coconut_sprout
mbuwak,485_taro_wet
taro,249_taro_dry
ŋgaka,496_yam
navic,207_banana
nɶut_na_taro,453_taro_terrace
naut,291_garden
mbətap,216_breadfruit
manjok,333_manioc
kumala,316_sweet_potato
navi,492_taro_wild
nambuc,493_yam_wild
veɾep,396_pig
mboxos,401_pig_male
veɾep,398_pig_female
naul,421_sea_worm
nalul,389_owl
ŋgəra,287_flying_fox
meɾe,254_eel
mbaxe,425_shark
naul,326_lobster
ɾup_roroman,467_deaden_ones_thoughts
ixalxal,247_traditional_dreamer
iɾuemnen_ndeŋe_sesat,405_man_who_makes_poison
nəman,213_magic
ɾoxo,317_traditional_medicine
maɾte_kəɾon_ɾoxo,318_traditional_doctor_male
nivnaɾ_te_kəɾon_ɾoxo,192_traditional_doctor_female
ndəmat,395_peace_ceremony
meleun,227_chief
ɾustuɾuni_ve_meleun,462_chief_ceremony
ɾup_mboxos,400_pig_killing_ceremony
ixil_rove,226_ceremony_of_the_first_harvest
reme,372_offerings_to_ancestors
ikelkel,428_sister_exchange
itamtam,324_woman_who_married_brother_of_dead_husband
ɾaveveɾu,406_polygamy
leletɾa_xineɾ,198_ancestor
nemun,242_spirit
wowoxɾamb,242_spirit
mbwealo,194_afterlife
ivan_mbwetli,475_direction_inland
ivan_laltas,476_direction_sea
euɾut,409_prepare_taboo
meɾuwen,304_heart
mbitim,211_belly_button
ndaŋ_se_kokol,403_placenta
iseɾ_ŋgusun,360_piercing_nose
iseɾ_mboɾon,250_ear_piercing
ilil_nambas,357_penis_sheath
icɾo_xain,320_leaves_for_dance
mbwebwet,323_leaves_for_making_mats
miyat,322_leaves_for_house
naxmel,332_gathering_house_for_men
lout_moaɾ,228_clearing_in_front_of_chiefs_house
nuak_ndas,418_sailing_canoe
ɾevan_ŋe_mbaxo,312_initiation_male
lavxanitox,408_pregnant
ijatat,338_menstruation
saŋavil_rəmana_saxal,257_eleven
saŋavil_rəmana_iɾu,477_twelve
saŋavil_rəmana_itil,459_thirteen
saŋavil_rəmana_ifat,288_fourteen
saŋavil_rəmana_ilim,284_fifteen
saŋavil_rəmana_xon,430_sixteen
saŋavil_rəmana_xembit,423_seventeen
saŋavil_rəmana_xowel,255_eighteen
saŋavil_rəmana_xesiv,367_nineteen
ŋovil_til,460_thirty
ŋovil_vat,289_forty
ŋovil_xon,431_sixty
ŋovil_xembit,424_seventy
ŋovil_xoel,256_eighty
ŋovil_xesif,368_ninety
ndef_naxamb,251_earth_oven
nevet_natop,445_oven_stones
ɾoxo,321_leaves_for_covering_oven
ŋgalvat,474_wood_for_moving_stones
tate_lalamb,262_uncle_paternal_older
pupu,268_grandfather_paternal
tate_tembis,280_uncle_paternal_younger
putat,269_grandmother_paternal
wawe_lalamb,273_aunt_paternal_older
wawe_tembis,281_aunt_paternal_younger
tate,78_father
pupu,298_grandfather_maternal
pene_lalamb,346_uncle_maternal_older
pepe,77_mother
pene_tembwis,354_uncle_maternal_younger
putat,299_grandmother_maternal
pepe_lalamb,347_aunt_maternal_older
pepe_tembis,355_aunt_maternal_younger
lele,265_first_cousin_male_paternal_uncle_older
tesuk,266_first_cousin_male_paternal_uncle_younger
tesuk,499_younger_brother
lele,373_brother_older
lele,373_brother_older
neti_wawe,277_first_cousin_male_paternal_aunt
neti_wawe,277_first_cousin_male_paternal_aunt
neti_pene,343_first_cousin_male_maternal_uncle
lele,374_brother
lele,383_sibling_older
pwelxak,260_father_in_law
lexteɾ,341_mother_in_law
pepe_se_lele,80_wife
vəlelex,235_daughter_in_law
noxopik,436_grandchild_son
noxopik,436_grandchild_son
netuk,75_child
noxopik,239_grandchild_daughter
lilax,237_son_in_law
netimam,376_nephew_fraternal_older
netimam,375_niece_fraternal_older
alak,385_nephew_sororal_older
alak,384_niece_sororal_older
alak,506_nephew_sororal_younger
alak,505_niece_sororal_younger
tate,259_uncle_paternal
wawe,274_aunt_paternal
pene,342_uncle_maternal
pepe,348_aunt_maternal
