Tiraxbakru,English Translation
iŋovil_xendit,424_seventy
iŋovil_xoel,256_eighty
iŋovil_xesif,368_ninety
nuʷel_natondr,251_earth_oven
nevet_natondr,445_oven_stones
ɾoxa_na_nalok,321_leaves_for_covering_oven
niŋgalvat,474_wood_for_moving_stones
mame_neŋe_land,262_uncle_paternal_older
tata_he_tata_hok,268_grandfather_paternal
tata_hok_neŋe_mbi,280_uncle_paternal_younger
tate_he_nunu_hok,269_grandmother_paternal
fafe_hok_neŋe_lan,273_aunt_paternal_older
tata_hok,78_father
fafe_hok_neŋe_mbi,281_aunt_paternal_younger
tata_he_nunu_hok,298_grandfather_maternal
lele_hok_neŋe_land,346_uncle_maternal_older
nunu_hok,77_mother
ndene_hok_neŋe_mbi,354_uncle_maternal_younger
nunu_he_nunu_hok,299_grandmother_maternal
nunu_hok_neŋe_land,347_aunt_maternal_older
nunu_hok_neŋe_mbi,355_aunt_maternal_younger
lele_hok_neŋe_land,373_brother_older
tesuk_neŋe_mbi,499_younger_brother
texenandr,381_sister_older
tesuk_vaven,498_younger_sister
tata_hok_neŋe_mbi_netna_neɾneɾ,266_first_cousin_male_paternal_uncle_younger
tata_hok_netna_vinandr,263_first_cousin_female_paternal_uncle
fafe_hok_netna_nerner,275_first_cousin_female_paternal_aunt
fafe_hok_netna_vinandr,277_first_cousin_male_paternal_aunt
ⁿdene_hok_netna_nerner,343_first_cousin_male_maternal_uncle
ⁿdene_hok_netna_vinar,344_first_cousin_female_maternal_uncle
nunu_hok_netna_nerner,351_first_cousin_male_maternal_aunt
nunu_hok_netna_vinandr,350_first_cousin_female_maternal_aunt
tata_he_lele_hok,261_father_in_law_of_woman
nunu_he_lele_hok,310_mother_in_law_of_woman
vinaⁿdre_netuk,235_daughter_in_law
netuk_netna_nerner,300_grandson_son
noxoⁿdik,239_grandchild_daughter
noxoⁿdik_vinaⁿdr,296_granddaughter_son
netuk_fʷafʷen,234_daughter
lele_xe_netuk_fʷafʷen,237_son_in_law
lele_hok_neŋe_lan_netna_nerner,376_nephew_fraternal_older
tesuk_nerner_netna_nerner,501_nephew_fraternal_younger
lele_hok_neŋe_lan_netna_vinandr,375_niece_fraternal_older
ⁿdene_haɾ_neŋe_mbi_netna_vinandr,500_niece_fraternal_younger
texenandr_hok_netna_nerner,385_nephew_sororal_older
texenandr_hok_netna_vinandr,384_niece_sororal_older
tesuk_vaven_netna_nerner,506_nephew_sororal_younger
tesuk_vaven_netna_vinandr,505_niece_sororal_younger
tata_hok_neŋe_tembi,259_uncle_paternal
fʷafʷe,274_aunt_paternal
ⁿdene,342_uncle_maternal
nunu_hok,348_aunt_maternal
