Tiraxolamb,English Translation
saŋavil_rəmana_i_xoel,255_eighteen
saŋavil_rəmana_xesif,367_nineteen
ŋovil_til,460_thirty
ŋovil_vat,289_forty
ŋovil_xon,431_sixty
ŋovil_xembit,424_seventy
ŋovil_xoel,256_eighty
ŋovil_xesif,368_ninety
no:l_natop,251_earth_oven
nevet_natop,445_oven_stones
ɾoxo_nalok,321_leaves_for_covering_oven
niŋalwat,474_wood_for_moving_stones
ɾexeɾe_naxamb,474_wood_for_moving_stones
lele_lalamb,373_brother_older
leleteɾa,297_grandfather
tate_neŋe_tembis,280_uncle_paternal_younger
pupu_sok,298_grandfather_maternal
wawe_sok,274_aunt_paternal
wawe_lalamb,273_aunt_paternal_older
pupu,298_grandfather_maternal
pəne_sok,346_uncle_maternal_older
pesak,77_mother
merak,77_mother
pəne_welwele,354_uncle_maternal_younger
putat_lexter,299_grandmother_maternal
mama_lalamb,347_aunt_maternal_older
merak_neŋe_lalamb,347_aunt_maternal_older
merak_tembis,355_aunt_maternal_younger
lele_sok,373_brother_older
lele_sok,381_sister_older
lele_sok,381_sister_older
tesuk,267_first_cousin_paternal_uncle
tat_lalo,277_first_cousin_male_paternal_aunt
wawe_faxaɾu,275_first_cousin_female_paternal_aunt
netuk_cuwe,343_first_cousin_male_maternal_uncle
netuk,344_first_cousin_female_maternal_uncle
pʷelxak,261_father_in_law_of_woman
pʷelxak,261_father_in_law_of_woman
lexteɾ_pʷelxak,310_mother_in_law_of_woman
lilex_sok,79_husband
vilelex,235_daughter_in_law
noxopuk,300_grandson_son
noxopuk_nevnar,296_granddaughter_son
netuk,435_son
netuk_nevnar,234_daughter
noxopuk,296_granddaughter_son
lilax,237_son_in_law
noxopuk,236_granddaughter_daughter
netuk_cuwana_mʷaɾaŋ_noweɾiŋ,376_nephew_fraternal_older
netuk,501_nephew_fraternal_younger
tate_neŋe_lalamb,262_uncle_paternal_older
tate_lalamb,262_uncle_paternal_older
wawe,274_aunt_paternal
pne_sok,342_uncle_maternal
merak,77_mother
lele_sok,373_brother_older
