Tiraxbethel,English Translation
kra,287_flying_fox
nemere,254_eel
sak,425_shark
xorum_ⁿdromⁿdroman,467_deaden_ones_thoughts
xoronronal,247_traditional_dreamer
nan,329_magic_for_love
ronxar,317_traditional_medicine
marte_irurun_roroxa,318_traditional_doctor_male
finarte_irun_roroxa,192_traditional_doctor_female
tate,262_uncle_paternal_older
lile,268_grandfather_paternal
tate_mbi,280_uncle_paternal_younger
mbumbu,298_grandfather_maternal
ɸaɸe_lan,273_aunt_paternal_older
tate,78_father
fafe_mbi,281_aunt_paternal_younger
mbutat,299_grandmother_maternal
mbumbu,298_grandfather_maternal
ⁿdene,346_uncle_maternal_older
nunu,77_mother
ⁿdene_mbi,354_uncle_maternal_younger
mbutat,299_grandmother_maternal
nunu_laⁿd,347_aunt_maternal_older
nunu_mbi,355_aunt_maternal_younger
lele,373_brother_older
tesuk,499_younger_brother
vivniŋk,381_sister_older
vivniŋk_mbi,498_younger_sister
lele,264_first_cousin_male_paternal_uncle
vivniŋk,263_first_cousin_female_paternal_uncle
tat_lalo,277_first_cousin_male_paternal_aunt
fafe_tembi,275_first_cousin_female_paternal_aunt
netuk,343_first_cousin_male_maternal_uncle
fafe_mbi,344_first_cousin_female_maternal_uncle
lele,351_first_cousin_male_maternal_aunt
vivniŋk,350_first_cousin_female_maternal_aunt
mbelxak,260_father_in_law
lexterok,341_mother_in_law
finaⁿdrok,80_wife
vɛlɛexok,235_daughter_in_law
noxoⁿdik,436_grandchild_son
netuk,435_son
netuk_fafen,234_daughter
noxoⁿdik,238_grandson_daughter
noxoⁿdik,236_granddaughter_daughter
netuk,220_nephew_fraternal
netuk_ɸaɸen,375_niece_fraternal_older
mererehok,385_nephew_sororal_older
tate,259_uncle_paternal
fafe,274_aunt_paternal
ⁿdenehok,342_uncle_maternal
fafe_hok,274_aunt_paternal
nunu_hok,348_aunt_maternal
