Sesake (Emae),English Translation
nambuena,70_tail
mata,63_snake
sulati,74_woman
kutu,65_louse
pætrik,68_mosquito
ŋgælao,67_spider
naikha,62_fish
mænanda,130_rotten
arana,105_branch
nalikəu,106_leaf
nako,104_root
navuŋa,109_flower
nawa,102_fruit
naŋmwenau,108_grass
natano,93_earthsoil
fætu,92_stone
naworaone,95_sand
nowai,87_lake
esara,286_flow
nowæ esara,415_river
natas,88_sea
nəmæliŋgo ŋ͡malowonokau,103_woodsforest
nakoro atelaŋi,85_sky
atelaŋi,83_moon
ŋ͡masoe,84_star
naŋpopoɾu,97_cloud
namafu,340_fog
usa,96_rain
tavaijə,99_thunder
nevila,100_lightning
nalaŋi,98_wind
esusuwi,165_blow
epipitunu,483_hot
emalandi,134_cold
eŋaɾaŋaɾa,135_dry
ememeu,136_wet
emandaŋa,131_heavy
nakapu,89_fire
endak͡para,166_burn
easuwa,90_smoke
natanoa,91_ash
lowa,114_black
endarɪ,115_white
emijəla,116_red
emwiloloa,118_yellow
emalakes,117_green
ɪŋgik,120_small
embula,119_big
epuɾu,426_short
eparau,328_long
emaniɸeniɸe,457_thin
ematolu,456_thick
elaŋ͡moŋ͡moloi,359_narrow
ek͡pwelwelɛja,489_wide
mæsaki,392_sick
emalijeɾe,123_shyashamed
tematuwa,124_old
epau,137_new
ek͡pwija,126_good
esa,127_bad
lomau,128_correcttrue
k͡poŋi,82_night
alejath,81_day
natau,15_year
k͡pataksurukin,150_hide
kupaŋi,146_climb
naŋpwalauna,39_ininside
mɛluna,480_under
næwo,35_this
næwe,36_that
uɸeja,132_far
esa,32_where
niŋko,23_thou
mæ,26_heshe
niŋita,22_weallincl
nara,27_theyall
nasana,30_what
mɛseina,31_who
keruwa,138_other
endaphale,34_how
e:,29_nonot
k͡paɸeɸe,176_count
esikai,1_one
enduwa,2_two
endolu,3_three
ephati,4_four
elima,5_five
elacha,6_six
elaɾuwa,7_seven
elatolu,8_eight
elofeti,9_nine
ruwalimæsikei,10_ten
ruwalimaɛisikeitemateesikæi,257_eleven
ruwalimaɛisikeitemate enduwa,477_twelve
ruwalimaɛisikeitemate endolu,459_thirteen
ruwalimaɛisikeitemate ephati,288_fourteen
ruwalimaɛisikeitemate elima,284_fifteen
ruwalimaɛisikeitemate elatesa,430_sixteen
ruwalimaɛisikeitemate elaɾuwa,423_seventeen
ruwalimaɛisikeitemate elatolu,255_eighteen
ruwalimaɛisikeitemate elofeti,367_nineteen
ruwalimaɛi enduwa,11_twenty
ruwalimaɛi endolu,460_thirty
ruwalimaɛi ephati,289_forty
ruwalimaɛi elima,12_fifty
ruwalimaɛi elacha,431_sixty
ruwalimaɛi elaɾuwa,424_seventy
ruwalimaɛi elatolu,256_eighty
ruwalimaɛi elofeti,368_ninety
k͡ponotija esikæ,13_onehundred
manu esikei,14_onethousand
tete,77_mother
popo,78_father
pupu,298_grandfather_maternal
tata,299_grandmother_maternal
tuwa,269_grandmother_paternal
tija,268_grandfather_paternal
loloa,346_uncle_maternal_older
tete kik,348_aunt_maternal
mimi,274_aunt_paternal
popo kik,259_uncle_paternal
ŋgoreŋgu,382_sister
taiŋku,374_brother
taiŋku matuwa,373_brother_older
tai matuwa,373_brother_older
tai kik,499_younger_brother
ŋgolŋgulmbula,381_sister_older
taiŋgu,351_first_cousin_male_maternal_aunt
tawijan,275_first_cousin_female_paternal_aunt
naŋgoroi aŋginau,80_wife
mimi,341_mother_in_law
loloa,260_father_in_law
matæilao,237_son_in_law
natuŋku,75_child
njaɸsuluŋku,437_grandchild
natuŋgu,75_child
mætæilao,235_daughter_in_law
matæilao,387_nibling_sororal
tæimatuwa,198_ancestor
nawota,227_chief
