Nokuku,English Translation
kuβkuβ,91_ash
tupum,79_husband
malcet͡ʃon roun kɒ,117_green
kɒ,107_wood
βarkot͡ʃ,125_painfulsick
potuʔ,40_head
wurwurak,134_cold
taβe,170_cut
mot͡ʃin,118_yellow
ruku,315_know_understand
ik,62_fish
kuriʔ,55_skin
lolon kɒ,103_woodsforest
us,96_rain
men,202_at
saplel,127_bad
man βarβar,99_thunder
mok,68_mosquito
takarik,120_small
roun kɒ,106_leaf
tutun,176_count
mosmosun lep,340_fog
sapkɒkɒn,122_bluntdull
mʷem,77_mother
sul,92_stone
lulu,178_vomit
toun kɒ,102_fruit
ɒβ,286_flow
noβulim,12_fifty
on,95_sand
solpurun,456_thick
or,135_dry
sir,166_burn
karkaros,183_scratch
tetakol,128_correcttrue
aloʔ,50_neck
meβinβin,457_thin
t͡ʃomtoʔ,149_throw
se cenɒ,31_who
tiɒʔ,56_belly
tokosiβ,142_sit
sima,139_come
maet,114_black
rono,161_hear
kɒn mɛmaw,153_yawn
t͡ʃinar,156_sleep
awen,124_old
osun ɒβ,90_smoke
liklik,167_sew
lane,191_open
mekɒβ,53_blood
lel,126_good
eʔer,160_see
uri,172_dig
woli,185_buy
pes,60_dog
mat,158_die
losmate,159_kill
let͡ʃmar,100_lightning
leβesus,448_suck
ɒtɒta,174_hold
pʷerpʷer,108_grass
laβo,187_plant
memeʔ,46_tongue
lolot,154_spit
man,163_laugh
susurpun,150_hide
βia,32_where
cerin,104_root
tutun,483_hot
pɨpʷelik,186_steal
kokor,173_hunt
sonoβul,10_ten
riʔ roβroβok,27_theyall
ceʔa,74_woman
ɒβ,89_fire
lel βaka teβ,13_onehundred
lapʷɛn,70_tail
laβo,302_to_grow
esak,37_above
rio,416_road
rɒn,81_day
nik,23_thou
ɒnlaʔ,44_ear
wowas,426_short
sus,58_breast
t͡ʃinar tesiβ,144_liedown
perɒβ,328_long
limlimtɒʔ,458_to_think
konpuliʔ,51_back
βiskon,336_meat
riʔe,22_weallincl
tolow,455_thatch
toʔu,306_person
t͡ʃur taririk,75_child
tuβsaʔ,141_stand
ono,6_six
βera,190_work
nonon,43_nose
lima,5_five
tepʷar,67_spider
