Uripivtautu,English Translation
ɛ-reoʧi,159_kill
ɛ-mtani,160_see
o-ruŋe,161_hear
mitɛ-n,162_sniffsmell
ɛ-mɛn,163_laugh
ɛ-tɛŋ,164_cry
o-wu,165_blow
o-roro,166_burn
o-turi,167_sew
he-reoreoʧi,168_pound
ɛ-reoʧi,169_hit
a-tai,170_cut
ɛ-spe,171_split
e-li,172_dig
o-tori,174_hold
-ɛmtoh,175_fear
ɛ-wɛ,176_count
ɛ-wɛsowin,177_breathe
o-lu,178_vomit
a-kai,179_tieup
o-tumtumi,180_squeeze
o-sol,181_swell
o-worai,182_say
o-rorsi,183_scratch
o-ʧuʧi,184_stab
o-wli,185_buy
e-wuna,186_steal
o-ruwi,187_plant
a-taᵐbu,188_cook
ɛ-luwe,189_shoot
a-maʧiŋ,190_work
ɛ-wɛ,191_open
nafula_nalum,290_full_moon
navul_oʷɛspət,303_half_moon
navul_əwut,364_new_moon
nowan_ve:mes,248_dry_season
ⁿdaro_naus,411_rainy_season
ⁿdes_mot,243_deep_ocean
ⁿdesofəra,461_tsunami
namʷi,252_earthquake
liŋɾəvic,232_cyclone
ⁿdɪmɪcarawelaso_lexan,325_sun_shower
liŋeseɾelelep,446_storm
liuʷaliu,410_rainbow
mbeɾeŋ,225_cave
nijal,450_sun
nembek,208_banyan_tree
naut,291_garden
nani,229_coconut
nawop,337_coconut_sprout_meat
ⁿdefi_nani,230_coconut_sprout
nambʷet,249_taro_dry
bijek,485_taro_wet
ⁿdrom,496_yam
navic,207_banana
latapərwe_nambete,453_taro_terrace
naut_nen_ⁿdrom,497_yam_garden
mbətef,216_breadfruit
manjok,224_casava
kumala,316_sweet_potato
navi,492_taro_wild
nambur,493_yam_wild
mbeɾpʷeɾ,396_pig
mbo,401_pig_male
mbeɾpʷeɾ,398_pig_female
ɾacin,399_pig_hermaphrodite
nawil,421_sea_worm
nait,371_octopus
nombor,389_owl
ŋgere,287_flying_fox
namɾa,254_eel
mbæɪ,425_shark
mboŋiɸ,213_magic
amilef_cin_noɾomjen,467_deaden_ones_thoughts
meɾŋamokilesles,247_traditional_dreamer
ceɾmbamoɾoxesimboŋi,405_man_who_makes_poison
ələlisʊli,329_magic_for_love
ələlisʊli,317_traditional_medicine
ɾoɾoŋa_cənebulelip_meɾ_ŋa_mʊleli_ɾop,318_traditional_doctor_male
fesena_moleli_ɾop_mʊleli_cənebumʊɾiŋe,192_traditional_doctor_female
ⁿdemat_ŋamilep,395_peace_ceremony
nomal,227_chief
tarona_posuster_cənopsan_pimeɸʷijenmal,462_chief_ceremony
maki,400_pig_killing_ceremony
namboŋ_apaləl_ɾoŋi_nanen_santefʷinmal,226_ceremony_of_the_first_harvest
taron_maɾsulsulwominrovi,372_offerings_to_ancestors
ɸololilijen,217_bride_price
ɸoɾwin_wani_ecocinuɾu,428_sister_exchange
elexwani_tasiniŋa_mɪmɪ_cele,324_woman_who_married_brother_of_dead_husband
naⁿtixainecenoŋsaʊt,406_polygamy
papu_na_tuʷene,198_ancestor
nemuna_maɾsəte,242_spirit
nemʷin,442_spirit_human
latŋe_cine_pimej_xopijanɪ,194_afterlife
selŋamima_ʷosmbotwin,475_direction_inland
selŋamima_ʷosⁿtes,476_direction_sea
nanoŋam_isilfe,422_secret
ðatŋa_mʊʷon,413_restricted_place
ðatŋa_mʊʷon_ceɾceɾ,414_restriction_taboo
mbitom,211_belly_button
nuʷo_ne_beɸe,197_amniotic_fluid
mbʷenem_mbeɸe,403_placenta
aɾaɪnalel,200_armband
əciciruriŋi_kənsin,360_piercing_nose
amuciciruriŋi_mboron,250_ear_piercing
amweleli_mbesən,357_penis_sheath
mbesən,320_leaves_for_dance
laɸlaɸ,319_leaves_for_clothes
mbolte,323_leaves_for_making_mats
nijat,322_leaves_for_house
latamopopol_lenonaæɪm_se_nomal,228_clearing_in_front_of_chiefs_house
latŋamaɾofsewi,440_space_for_dancing_ceremony
txao,223_canoe
txao_namben,418_sailing_canoe
nesenecjan,408_pregnant
nemsjan_sefisefin,338_menstruation
əsaŋavulromosan,257_eleven
əsaŋavulromonəɾu,477_twelve
əsaŋavulromonetil,459_thirteen
əsaŋavulromonavic,288_fourteen
əsaŋavulromonelim,284_fifteen
əsaŋavulromonəwon,430_sixteen
əsaŋavulromonəɸut,423_seventeen
əsaŋavulromonewel,255_eighteen
əsaŋavulromonesif,367_nineteen
asaŋavul_romonsam,11_twenty
oŋoletil,460_thirty
oŋolavic,289_forty
oŋolowon,431_sixty
oŋoleɸʊt,424_seventy
oŋolewel,256_eighty
oŋolisiɸ,368_ninety
wolnam,251_earth_oven
nevet_mereriŋ,445_oven_stones
ɾoxo_ne_nalok,321_leaves_for_covering_oven
neklec,474_wood_for_moving_stones
tete_sok_ŋamilep,262_uncle_paternal_older
papu_sok,268_grandfather_paternal
tete_sok_ŋawalele,280_uncle_paternal_younger
papu_se_mama_sok,269_grandmother_paternal
mama_sok_njaken_sen,273_aunt_paternal_older
tete_sok,78_father
tete_sok_coci_ŋawalele,281_aunt_paternal_younger
nene_sok_nene_sen,298_grandfather_maternal
metwak_amilep,346_uncle_maternal_older
nene_sok,77_mother
nene_sok_tasi_ŋawalele,354_uncle_maternal_younger
metwak_ŋawalele,354_uncle_maternal_younger
nene_sok_nene_sen,299_grandmother_maternal
nene_sok_ŋamilep,347_aunt_maternal_older
nene_sok_tasi_ŋawalele,355_aunt_maternal_younger
tuʷak_ŋamilep,373_brother_older
tasi_ŋawalele,499_younger_brother
coci_ŋamilep,381_sister_older
nijakense_coci_ŋawalele,498_younger_sister
tete_sok_ŋamuɾice_natun,263_first_cousin_female_paternal_uncle
natu_tete_sok_cocin,277_first_cousin_male_paternal_aunt
neseŋwari_ŋan_natun_cocik_tete_sok,275_first_cousin_female_paternal_aunt
natun_metwok,343_first_cousin_male_maternal_uncle
natun_metwok,343_first_cousin_male_maternal_uncle
natun_nene_sok_san,351_first_cousin_male_maternal_aunt
nesen_sok_tete_sen,260_father_in_law
nene_sen_nesen_sok,341_mother_in_law
nesen_sok,80_wife
nesen_se_natuk,235_daughter_in_law
nembuk_noɾman_natun,300_grandson_son
natuk,435_son
natuk_neseŋwarin,234_daughter
natuk_nesevin,238_grandson_daughter
natuk_nesevin_tewen_sen,237_son_in_law
natuk_nesevin_natun_nesevin,236_granddaughter_daughter
nijakensa_ŋamilep_natun,376_nephew_fraternal_older
tasik_natun,501_nephew_fraternal_younger
tuʷak_ŋamilep_natun_nesefin,375_niece_fraternal_older
tasik_natun_nesefin_san,500_niece_fraternal_younger
cocik_natun_noɾman,385_nephew_sororal_older
cocik_ŋamilep_natun_nesefin,384_niece_sororal_older
coci_ŋawalele_natun_noɾman,506_nephew_sororal_younger
coci_ŋawalele_neseŋwariŋ,505_niece_sororal_younger
nijakensen_tete_sok,280_uncle_paternal_younger
coci_tete_sok,274_aunt_paternal
metwok,342_uncle_maternal
mam_sok_nijaken_sen,348_aunt_maternal
