Winsao,English Translation
maːte,121_sharp
ᵑɡamiu,25_youall
eloᵐpolopo,97_cloud
tesaːre,146_climb
tamaᵑku,78_father
sariᵑka,52_leg
βuluna,72_feather
matuaᵑka,16_right
taːsi,419_salt
inie,26_heshe
mauri,157_live
uβseao,109_flower
taβaːti,4_four
aᵐpale,34_how
nuːte,80_wife
teβuj,133_near
tulia masun,177_breathe
βuluᵑɡa,41_hair
koanan,151_eat
ease,112_rope
tauku,73_man
eseᵑka,76_name
savajao,30_what
iᶮɟerua,20_webothincl
taraptolu,8_eight
erumasise,64_worm
eutu,65_louse
sala cilecile,359_narrow
ᵑɡamirua,24_youboth
βarae,311_if
laβaβana,38_below
ᵑɡamarua,21_webothexcl
daβaraj,182_say
elajlan,98_wind
βaβoni,181_swell
moese,1_one
kukoko,152_drink
kumukae,464_to_chew
taβuso,115_white
kuriripuri,145_turn
kumaːni,180_squeeze
matao,175_fear
eniᵐpu,87_lake
kut͡ʃula,184_stab
tie,29_nonot
taet͡ʃa,165_blow
mamaβ,91_ash
tauku,79_husband
taparparo,117_green
wiao,107_wood
taβarmase,125_painfulsick
paːtuᵑɡa,40_head
kowoso,134_cold
kuβule,170_cut
tamat͡ʃina,118_yellow
pipinisi,315_know_understand
emaːt͡ʃe,62_fish
βenuᵑka,55_skin
eluβeao,103_woodsforest
eusa,96_rain
la,202_at
talokloko,127_bad
epiriri,99_thunder
mustik,68_mosquito
tacilecile,120_small
erauna,106_leaf
kueβi,176_count
koka,340_fog
mutimate,122_bluntdull
raːpʷiᵑɡu,77_mother
sule,92_stone
kululua,178_vomit
βaena,102_fruit
epej tacile,286_flow
tanaβul lima,12_fifty
eβusi,95_sand
taporono,456_thick
takoro,135_dry
taon,166_burn
karumi,183_scratch
taβurea,128_correcttrue
koloᵑɡa,50_neck
takaβenβeni,457_thin
kuplej,149_throw
saβao,31_who
tapaniᵑka,56_belly
kusiu,142_sit
wonoma,139_come
talo,114_black
kurono,161_hear
kulalanβaβa,153_yawn
molopoe,156_sleep
takorkoru,124_old
eaːsu,90_smoke
kutula,167_sew
koaːre,191_open
kaeᵑɡa,53_blood
tamamasa,126_good
kuriej,160_see
kukuru,172_dig
kuβoli,185_buy
woj,60_dog
maːte,158_die
kurupuni,159_kill
βilej,100_lightning
kususu,448_suck
kaoj,174_hold
epalise,108_grass
kulaβo,187_plant
memeᵑka,46_tongue
kuloto,154_spit
nisa,163_laugh
tapunae,150_hide
aβene,32_where
earina,104_root
emama,483_hot
koaroe,186_steal
walulu,173_hunt
tasanaβulu,10_ten
ire,27_theyall
liβine,74_woman
aːᵐpo,89_fire
euna taese,13_onehundred
βicina,70_tail
mauri,302_to_grow
alone,37_above
sala,416_road
tarani,81_day
iᵑɡo,23_thou
kalnaᵑka,44_ear
taputputo,426_short
susuᵑka,58_breast
kumalamala moloe,144_liedown
paraβo,328_long
komkomiᵑɡa,458_to_think
suntauᵑka,51_back
eβisona,336_meat
iᶮɟe,22_weallincl
rawato,455_thatch
alβanire,306_person
netmera,75_child
kuturi,141_stand
talimaraβe,6_six
βarea,190_work
laesuᵑɡa,43_nose
talima,5_five
epara,67_spider
