Tiraxmae,English Translation
iŋavil_romanaitil,459_thirteen
iŋavil_romanaivat,288_fourteen
iŋavil_romanailin,284_fifteen
iŋavil_romanani_xowen,430_sixteen
iŋavil_romanani_xendit,423_seventeen
iŋavil_romanani_xowel,255_eighteen
iŋavil_romanani_xesif,367_nineteen
iŋovil_til,460_thirty
iŋovil_fat,289_forty
iŋovil_xowen,431_sixty
iŋovəl_xendit,424_seventy
iŋovəl_xowel,256_eighty
iŋovəl_xesif,368_ninety
nuwel_natondr,251_earth_oven
nəvet_nalok,445_oven_stones
roxa_nanalok,321_leaves_for_covering_oven
neŋgalvat,474_wood_for_moving_stones
nexre,474_wood_for_moving_stones
mbumbu_hok,268_grandfather_paternal
tate_neŋe_landr,262_uncle_paternal_older
tate_neŋe_srei,280_uncle_paternal_younger
mbutat,269_grandmother_paternal
ɸaɸe_neŋe_landr,273_aunt_paternal_older
ɸaɸe_neŋe_mbi,281_aunt_paternal_younger
tata_hok,78_father
ndende_hok,77_mother
nunu_hok,77_mother
mbumbu_hok_neŋe_sxənunu,298_grandfather_maternal
ndene_hok_neŋe_landr,346_uncle_maternal_older
ndene_neŋe_mbi,354_uncle_maternal_younger
mbutat_neŋe_sxənunu,299_grandmother_maternal
nunu_landr,347_aunt_maternal_older
ndende_neŋe_mbi,355_aunt_maternal_younger
lele,373_brother_older
tesuk,499_younger_brother
vivniŋk_neŋe_landr,381_sister_older
vivniŋk_neŋe_mbi,498_younger_sister
ma:me,264_first_cousin_male_paternal_uncle
vivniŋk,263_first_cousin_female_paternal_uncle
ɸaɸe_neŋe_mbi,275_first_cousin_female_paternal_aunt
tat_lalo,343_first_cousin_male_maternal_uncle
ɸaɸe_neŋe_mbi,344_first_cousin_female_maternal_uncle
tesuk,351_first_cousin_male_maternal_aunt
vivniŋk,350_first_cousin_female_maternal_aunt
mbelxak_nerner,260_father_in_law
mbelxak_vinandr,341_mother_in_law
vinandr_hok,80_wife
le:x_hok,79_husband
velelex_hok,235_daughter_in_law
noxondik,300_grandson_son
naxandr,296_granddaughter_son
netuk,435_son
netik_vaven,234_daughter
noxondik,238_grandson_daughter
naxandr_hok,236_granddaughter_daughter
lax_hok,237_son_in_law
net_lele_hok,376_nephew_fraternal_older
net_tesuk,501_nephew_fraternal_younger
netin_vave_lele_hok,375_niece_fraternal_older
netin_vave_tesuk,500_niece_fraternal_younger
mərere_hok,385_nephew_sororal_older
mərere_hok,505_niece_sororal_younger
mərere_hok,384_niece_sororal_older
mərere_hok,506_nephew_sororal_younger
tate,259_uncle_paternal
ɸaɸe,274_aunt_paternal
ndne,342_uncle_maternal
nunu_hok,348_aunt_maternal
net_̚_lele,376_nephew_fraternal_older
net_̚_mame,220_nephew_fraternal
netin_vave_mame,214_niece_fraternal
mərere,363_nephew_sororal
mərere,365_niece_sororal
