Piamatsina,English Translation
mamahana,123_shyashamed
loloso,147_swim
ponpon,162_sniffsmell
βartani,131_heavy
lolona,39_ininside
matur popore,155_dream
cilahi,465_to_choose
t͡ʃoːβi,143_fall
rarua,28_theyboth
ŋesa,33_when
loslosia,168_pound
taun,15_year
mʷanmʷan,136_wet
mʷata,63_snake
βiβis tatania,179_tieup
nitil,362_needle
tolu,3_three
hariβi,66_rat
tiβano,36_that
posi,258_fat
naini,35_this
marau,17_left
tar βaha senaβul,14_onethousand
sesere,140_walk
ŋaβlarua,11_twenty
pakaβu,94_dust
tineku,57_intestines
riβaːku,49_shoulder
imʷa,111_house
pej,86_water
moromoro,130_rotten
soroe,171_split
rua,2_two
hahara,116_red
hahan,121_sharp
kamiu,25_youall
haⁿᵈraβu,97_cloud
kakatu,146_climb
tata,78_father
sariku,52_leg
βuluna,72_feather
matua,16_right
taːsi,419_salt
nia,26_heshe
mauri,157_live
βirana,109_flower
βaːti,4_four
warae,34_how
tupuku,80_wife
tatawora,133_near
maŋoso,177_breathe
wuluk,41_hair
hani,151_eat
aːsi,112_rope
lamane,73_man
hisejm,76_name
warae,30_what
ⁿᵈrarua,20_webothincl
moalu,8_eight
maⁿᵈrileo,64_worm
hutu,65_louse
matarihi,359_narrow
kamrua,24_youboth
waisi,311_if
cesiβu,38_below
kamara,21_webothexcl
βetia,182_say
laŋi,98_wind
siŋi,181_swell
tewa,1_one
koko,152_drink
t͡samʷae,464_to_chew
woke,115_white
taʔapur,145_turn
hit͡ʃia,180_squeeze
wotwotan,175_fear
nopu,87_lake
t͡ʃocia,184_stab
ⁿᵈroa,29_nonot
laŋ roβo,165_blow
maŋoβi,91_ash
warese,79_husband
heːt͡sa,117_green
haw,107_wood
rara,125_painfulsick
pʷatuku,40_head
hamariri,134_cold
pahia,170_cut
mʷat͡sina,118_yellow
pisi,315_know_understand
mat͡ʃi,62_fish
pʷalaŋaku,55_skin
nuhnuhu,103_woodsforest
usa,96_rain
la,202_at
msasat,127_bad
roŋia,99_thunder
mohi,68_mosquito
taharihi,120_small
rauna,106_leaf
tʏtʏŋia,176_count
t͡ʃoβran,340_fog
pʷiŋi,122_bluntdull
tinaku,77_mother
sule,92_stone
lua,178_vomit
tauna,102_fruit
roro,286_flow
ŋaβlalima,12_fifty
one,95_sand
purpur,456_thick
koru,135_dry
haroβia,183_scratch
tataholo,128_correcttrue
ⁿᵈraluk,50_neck
maniβniβi,457_thin
t͡ʃurtuahnia,149_throw
sej,31_who
tiaku,56_belly
pʷasuɸu,142_sit
sumaj,139_come
maeto,114_black
roŋoe,161_hear
han mamauβi,153_yawn
t͡ʃiŋaro,156_sleep
moromoro,124_old
naːsu,90_smoke
turia,167_sew
laŋae,191_open
mahaβiku,53_blood
mlele,126_good
pʷajpʷaj,160_see
helia,172_dig
βolia,185_buy
pesi,60_dog
maːte,158_die
los matea,159_kill
tiwe,100_lightning
susu,448_suck
tartohnia,174_hold
pʷere,108_grass
laβoe,187_plant
memeku,46_tongue
lotlotoβi,154_spit
mana,163_laugh
lopunia,150_hide
melae,32_where
huarina,104_root
tʏtʏni,483_hot
pʷalihoe,186_steal
papala,173_hunt
senaβulu,10_ten
nire,27_theyall
haⁿᵈrae,74_woman
hapu,89_fire
tar βaha tewa,13_onehundred
lapʷena,70_tail
hiria,302_to_grow
cesahe,37_above
rio,416_road
ran,81_day
niho,23_thou
ⁿᵈralŋaku,44_ear
waririhi,426_short
sʏsʏk,58_breast
hure tasiβo,144_liedown
paraβu,328_long
lilimahi,458_to_think
litiku,51_back
ponis,336_meat
niⁿᵈre,22_weallincl
talaua,455_thatch
taⁿᵈrua,306_person
paule,75_child
tupu,141_stand
oːno,6_six
βarao,190_work
ŋoŋok,43_nose
lima,5_five
pʷara,67_spider
