Wusi,English Translation
βitu,84_star
vinej,189_shoot
cehi,164_cry
vat̠ʲvat̠ʲo,188_cook
rapati,9_nine
hujna,54_bone
arat͡ʃi,137_new
ire βunβuno,195_all
uːt̠una,47_tooth
wawana,45_mouth
mʷapʷena,59_liver
tahi,88_sea
tawana,105_branch
mata,42_eye
roj,199_and
vitiʔi,169_hit
huej,489_wide
apauna,71_wing
huej,119_big
tano,93_earthsoil
lima,48_hand
nau,18_i
pahiʔa,83_moon
tolina,69_egg
raβerua,7_seven
poni,82_night
βan paraβu,132_far
hala,148_flyverb
nunuʔu,129_dirty
t͡ʃot͡ʃo,85_sky
maːnu,61_bird
tanonoʔo,138_other
ʔanʔan,212_to_bite
mamaʔanu,123_shyashamed
loloho,147_swim
ponᵈrone,162_sniffsmell
puruna,131_heavy
lolono,39_ininside
nura poroporo,155_dream
werej,465_to_choose
t͡ʃoβi,143_fall
irerua,28_theyboth
haβaj rani,33_when
βitiβitiʔi,168_pound
taoni,15_year
luluhi,136_wet
marita,63_snake
vilteten,179_tieup
nitel,362_needle
tolu,3_three
ʔariβi,66_rat
avanie,36_that
purepure,258_fat
cenie,35_this
marao,17_left
aliali,140_walk
naβul rua,11_twenty
taβtaβu,94_dust
talina,57_intestines
pʷilina,49_shoulder
βanua,111_house
t͡ʃaːnu,86_water
βahkoj,130_rotten
terej βit͡ʃe,171_split
rua,2_two
kara,116_red
maʔati,121_sharp
kamiu,25_youall
t͡ʃot͡ʃo,97_cloud
haʔhaʔa,146_climb
tamana,78_father
haːri,52_leg
wuluna,72_feather
tutuwa,16_right
tahɪ,419_salt
nie,26_heshe
mauri,157_live
kakali,109_flower
βaːti,4_four
βinopʷele,34_how
nana laβina,80_wife
teβuj,133_near
mahomaho,177_breathe
wuluna,41_hair
ʔanʔani,151_eat
ahɪ,112_rope
taut͡ʃu,73_man
ehe,76_name
haβaw,30_what
it͡ʃerua,20_webothincl
raptolu,8_eight
olahe,64_worm
uːtu,65_louse
cile,359_narrow
kamiurua,24_youboth
werej,311_if
βaβana,38_below
kamajrua,21_webothexcl
werej,182_say
laːni,98_wind
tapan,181_swell
ehe,1_one
koko,152_drink
lamo,464_to_chew
hulu,115_white
porʔen,145_turn
virihi,180_squeeze
mataʔo,175_fear
cirej,184_stab
kula,29_nonot
hili,165_blow
majaβu,91_ash
nana taut͡ʃo,79_husband
et͡sa,117_green
ʔaw,107_wood
βarmahe,125_painfulsick
patuna,40_head
mariri,134_cold
terej,170_cut
pinihi,315_know_understand
maːt̠͡s̠i,62_fish
vinuna,55_skin
lonoʔaw,103_woodsforest
uha,96_rain
la,202_at
pojpoj,127_bad
prin,99_thunder
βuβu,68_mosquito
cile,120_small
rauna,106_leaf
eːβi,176_count
at͡ʃaβu,340_fog
pupu,122_bluntdull
puj,77_mother
hula,92_stone
lulua,178_vomit
wana,102_fruit
βura,286_flow
naβul lima,12_fifty
wuhwuhi,95_sand
porotuʔa,456_thick
koru,135_dry
ora,183_scratch
tataʔolo,128_correcttrue
t͡ʃolono,50_neck
t͡ʃaβinβin,457_thin
pleni,149_throw
hej,31_who
tiana,56_belly
hariʔi,142_sit
βe,139_come
loʔo,114_black
rone,161_hear
ʔan mamauβi,153_yawn
nunura,156_sleep
korkoru,124_old
paice,90_smoke
turuj,167_sew
tiβe,191_open
t͡ʃae,53_blood
maʔoβano,126_good
riorio,160_see
ʔeli,172_dig
woli,185_buy
woj,60_dog
maːti,158_die
viti iβuni,159_kill
βileʔi,100_lightning
huhu,448_suck
kaui,174_hold
palihi,108_grass
laːβo,187_plant
mimina,46_tongue
loto,154_spit
uru,163_laugh
puneni,150_hide
eβiaʔa,32_where
ʔarina,104_root
βaruti,483_hot
paliʔe,186_steal
t͡ʃuruβoj,173_hunt
hanaβulu,10_ten
ire,27_theyall
laβina,74_woman
aːβi,89_fire
naβil βaʔ ehe,13_onehundred
wut͡ʃina,70_tail
maure,302_to_grow
haelon,37_above
haːla,416_road
rani,81_day
niko,23_thou
t͡ʃalnana,44_ear
putu,426_short
huhuna,58_breast
nura malum,144_liedown
paraβu,328_long
t̠omt̠om,458_to_think
taʔuna,51_back
popo,336_meat
it͡ʃe,22_weallincl
ato,455_thatch
tuara oʔehe,306_person
maruhu,75_child
turi,141_stand
limaraβe,6_six
woce,190_work
malhuna,43_nose
lima,5_five
pʷipara,67_spider
