Narango,English Translation
taⁿtano,94_dust
tinem,57_intestines
pilim,49_shoulder
ima,111_house
aːj,86_water
moⁿᵈrof,130_rotten
oⁿt͡ʃon ⁿᵈrarasa,171_split
morua,2_two
mokar,116_red
oⁿt͡ʃiβa,121_sharp
kamim,25_youall
malaβlaβ,97_cloud
onkaram,146_climb
mam,78_father
karum,52_leg
fulna,72_feather
matua,16_right
tas,419_salt
nia,26_heshe
mofajt͡ʃo,157_live
fusrol,109_flower
mofaːt,4_four
mofrasaf,34_how
naruna,80_wife
taftavuj,133_near
oref marnim,177_breathe
fulum,41_hair
wanan,151_eat
saːl,112_rope
tamlos,73_man
insem,76_name
savaⁿte,30_what
niⁿᵈrarua,20_webothincl
moraftol,8_eight
furma,64_worm
utum,65_louse
mofarfar,359_narrow
kamra,24_youboth
ifra,311_if
navavan,38_below
kamara,21_webothexcl
over,182_say
laŋlaŋ,98_wind
motutuᵐp,181_swell
maːte,1_one
oⁿt͡ʃim,152_drink
t͡ʃamt͡ʃam,464_to_chew
molul,115_white
oᵐbus,145_turn
oᵐpipira,180_squeeze
mamtaw,175_fear
nipu,87_lake
otusa,184_stab
mores,29_nonot
mosor,165_blow
fajaf,91_ash
laim,79_husband
morawaj parpar,117_green
fuae,107_wood
momasmas,125_painfulsick
patum,40_head
maⁿᵈriⁿᵈr,134_cold
ospaja,170_cut
maⁿt͡ʃna,118_yellow
mamatafsae,315_know_understand
maⁿt͡ʃ,62_fish
urum,55_skin
ⁿᵈravon but,103_woodsforest
usa,96_rain
nalto,202_at
mosat,127_bad
pirin,99_thunder
fmuj,68_mosquito
movarvarlel,120_small
rauna,106_leaf
ojva,176_count
aⁿᵈraf,340_fog
mosanβor,122_bluntdull
el,77_mother
faːtu,92_stone
olua,178_vomit
naman,102_fruit
aj moror,286_flow
monavlima,12_fifty
faleβleβ,95_sand
moᵐbutan,456_thick
mamamas,135_dry
moafta,166_burn
oᵑɡarima,183_scratch
faraⁿᵈr,128_correcttrue
ⁿᵈrilum,50_neck
moᵐbaran,457_thin
oᵐblaj sabuta,149_throw
itasas,31_who
panim,56_belly
otusu,142_sit
komaj,139_come
movir,114_black
oroni,161_hear
βatatmauf,153_yawn
oⁿt͡ʃuruf,156_sleep
fnam,124_old
motipoj,90_smoke
onilaja,167_sew
oᵑɡituja,191_open
ⁿᵈraim,53_blood
monam,126_good
ojde,160_see
oela,172_dig
onaⁿᵈr sabuta,185_buy
firiu,60_dog
momat,158_die
oβil duea,159_kill
moᵑɡartus,100_lightning
mosus,448_suck
oᵑɡatona,174_hold
falis,108_grass
oⁿᵈrine,187_plant
memem,46_tongue
onus,154_spit
oman,163_laugh
oⁿt͡ʃaruja,150_hide
iːᵐbi,32_where
arna,104_root
olaβnalea,186_steal
oum,173_hunt
sanaβul,10_ten
nira,27_theyall
pita,74_woman
aːᵐp,89_fire
taw,13_onehundred
fiⁿᵈrna,70_tail
oviejtuf,302_to_grow
ksarul,37_above
sal,416_road
ran,81_day
nu,23_thou
ᵐborom,44_ear
moviⁿt͡ʃviⁿt͡ʃ,426_short
susum,58_breast
oⁿt͡ʃuruf,144_liedown
moᵐparaf,328_long
ⁿᵈrumⁿᵈrum,458_to_think
aⁿᵈrum,51_back
taⁿtan,336_meat
niⁿᵈra,22_weallincl
aⁿᵈrun ima,455_thatch
tamlos,306_person
tunar,75_child
otur,141_stand
limraf,6_six
fauma,190_work
najsum,43_nose
molima,5_five
korpar,67_spider
