Nkep,English Translation
symtøn,51_back
noβneð,336_meat
jœrðœl,22_weallincl
nlom retaluh,455_thatch
nusekaɹ,306_person
maɹkaɹ,75_child
marie,141_stand
kora,6_six
mjum,190_work
lelxym,43_nose
kuløn,5_five
nβara,67_spider
