Tiraxorap,English Translation
tutu_sak,262_uncle_paternal_older
pupu,268_grandfather_paternal
tesaka_welwele,280_uncle_paternal_younger
pupu_leter,269_grandmother_paternal
peser_celcal,273_aunt_paternal_older
te,78_father
pesaka_welwele,281_aunt_paternal_younger
pupu,298_grandfather_maternal
metuwak,346_uncle_maternal_older
pesak,77_mother
pesaka_welwele,347_aunt_maternal_older
pupu_letera_welwele,299_grandmother_maternal
pesakamleplep,347_aunt_maternal_older
pesaka_welwele,355_aunt_maternal_younger
cocik_womu,381_sister_older
tasika_welwele,498_younger_sister
tuwak,264_first_cousin_male_paternal_uncle
cocik,263_first_cousin_female_paternal_uncle
pesaka_sebsamb,263_first_cousin_female_paternal_uncle
olfala,343_first_cousin_male_maternal_uncle
tuwak,351_first_cousin_male_maternal_aunt
cocik,350_first_cousin_female_maternal_aunt
nasup,260_father_in_law
liter,341_mother_in_law
liter_sak,80_wife
visenla,235_daughter_in_law
nambʲʉk,238_grandson_daughter
natuk,435_son
nambʲʉk,237_son_in_law
pʷelak,237_son_in_law
natu_tutusak,376_nephew_fraternal_older
natu_tasik,501_nephew_fraternal_younger
natu_tasik,500_niece_fraternal_younger
natu_cocik,385_nephew_sororal_older
natu_cocik,384_niece_sororal_older
natu_cocik,506_nephew_sororal_younger
natu_cocik,505_niece_sororal_younger
tesak,259_uncle_paternal
tesaka_welwele,280_uncle_paternal_younger
teŋa_welwele,280_uncle_paternal_younger
pesak_celcal,274_aunt_paternal
metuwak,342_uncle_maternal
pesak,348_aunt_maternal
