Tasmate,English Translation
mat͡ʃaraʔa,85_sky
mano,61_bird
situaj,138_other
ʔatmotia,212_to_bite
mamaʔanu,123_shyashamed
loloso,147_swim
ponpon,162_sniffsmell
puʔetĕ,131_heavy
lalolona,39_ininside
rondrei,155_dream
panaja,465_to_choose
t͡ʃoβi,143_fall
irerua,28_theyboth
anisa,33_when
loslos,168_pound
taon,15_year
piropiro,136_wet
mʷata,63_snake
t͡ʃania,179_tieup
netel,362_needle
tolu,3_three
ʔariβi,66_rat
aβanunia,36_that
posi,258_fat
cenia,35_this
maraw,17_left
roβuntewa,14_onethousand
laʔolaʔo,140_walk
naβulurua,11_twenty
aβuaβu,94_dust
talina,57_intestines
kalona,49_shoulder
imʷa,111_house
pej,86_water
cepo,130_rotten
parkalaja,171_split
rua,2_two
aʔara,116_red
ʔan,121_sharp
kamju,25_youall
kokora,97_cloud
saʔenia,146_climb
tata,78_father
sari,52_leg
βuluna,72_feather
matua,16_right
tasi,419_salt
nia,26_heshe
mauri,157_live
plawa,109_flower
βati,4_four
βarβartapʷej,34_how
nom levine,80_wife
tataβora,133_near
manmanoso,177_breathe
uluna,41_hair
ʔanʔan,151_eat
asi,112_rope
taʔua,73_man
ise,76_name
saβa,30_what
cerua,20_webothincl
alu,8_eight
ʔalu,64_worm
ʔutu,65_louse
taʔariʔi,359_narrow
kamrua,24_youboth
wa,311_if
asiβo,38_below
kamamrua,21_webothexcl
βetia,182_say
lan,98_wind
pure,181_swell
tewa,1_one
koko,152_drink
t͡ʃomia,464_to_chew
βuko,115_white
por ʔenia,145_turn
it͡ʃia,180_squeeze
wotoa,175_fear
nopu,87_lake
t͡ʃaja,184_stab
ʔoa,29_nonot
lajlan,165_blow
aβuaβu,91_ash
tupuna,79_husband
et͡ʃa,117_green
ʔaw,107_wood
rarara,125_painfulsick
rena,40_head
ʔamariri,134_cold
taβeja,170_cut
mʷat͡ʃina,118_yellow
pinis,315_know_understand
iʔa,62_fish
pinuna,55_skin
loloʔaw,103_woodsforest
usa,96_rain
la,202_at
saslele,127_bad
pʷiripʷirin,99_thunder
moʔi,68_mosquito
taʔariʔi,120_small
rauna,106_leaf
eβia,176_count
kaβu,340_fog
pupu,122_bluntdull
ʔaki,77_mother
sule,92_stone
lulua,178_vomit
wanana,102_fruit
kun,286_flow
naβul:ima,12_fifty
mʷalaβusi,95_sand
punua,456_thick
reka,135_dry
ʔaruja,183_scratch
tataʔolo,128_correcttrue
kalona,50_neck
maβinβin,457_thin
plentenia,149_throw
sej,31_who
pʷanim,56_belly
pʷasuɦu,142_sit
simaj,139_come
maeto,114_black
ronoja,161_hear
ʔan mamauβi,153_yawn
t͡ʃinaro,156_sleep
taʔaβarese,124_old
asuasu,90_smoke
turia,167_sew
lanaja,191_open
maʔaβi,53_blood
lele,126_good
rerej,160_see
kuria,172_dig
wolia,185_buy
pesi,60_dog
mate,158_die
los mateja,159_kill
let͡ʃmare,100_lightning
susu,448_suck
kaja,174_hold
pʷerepʷere,108_grass
laβoja,187_plant
memena,46_tongue
loto,154_spit
mana,163_laugh
punia,150_hide
aβej,32_where
ʔorona,104_root
tutun,483_hot
pʷapʷaliʔo,186_steal
t͡ʃurpes,173_hunt
sanaβul,10_ten
ire,27_theyall
levine,74_woman
ʔapu,89_fire
laβiulβaːtewa,13_onehundred
βokina,70_tail
mauri,302_to_grow
asaʔalun,37_above
rio,416_road
ran,81_day
niko,23_thou
kalnana,44_ear
pʷepʷet̚,426_short
susuna,58_breast
t͡ʃinaro siβo,144_liedown
paraβu,328_long
komkom,458_to_think
poʔam,51_back
tanoso,336_meat
ice,22_weallincl
talawa,455_thatch
taʔua,306_person
paule,75_child
turi,141_stand
ono,6_six
βarao,190_work
nonom,43_nose
lima,5_five
pʷara,67_spider
