Wunawai,English Translation
taːsi,88_sea
rarana,105_branch
matam,42_eye
βeser,199_and
losia,169_hit
taːt͡s̠ia,489_wide
aβena,71_wing
taːt͡s̠ia,119_big
tano,93_earthsoil
aβeku,48_hand
nao,18_i
apatia,83_moon
otoli,69_egg
limaraβerua,7_seven
poni,82_night
toparaβ,132_far
saːle,148_flyverb
loɦaloɦa,129_dirty
kokora,85_sky
manu,61_bird
situetajkua,138_other
atusia,212_to_bite
mamaɦan,123_shyashamed
loloso,147_swim
ponina,162_sniffsmell
pʷiɦet,131_heavy
lalolona,39_ininside
mapopore,155_dream
βetia,465_to_choose
t͡ʃoβi,143_fall
iremorua,28_theyboth
lanisa,33_when
loslosia,168_pound
taun,15_year
piro,136_wet
mata,63_snake
t͡s̠ania,179_tieup
tulatula,362_needle
motolu,3_three
ʔariβ,66_rat
βanui,36_that
pos,258_fat
tuɦainia,35_this
maraw,17_left
ruwunmotea,14_onethousand
laβolaβo,140_walk
aβlarua,11_twenty
aβŭaβu,94_dust
talim,57_intestines
ririm,49_shoulder
imʷa,111_house
pej,86_water
cepo,130_rotten
paj kalae,171_split
morua,2_two
ɦaɦara,116_red
tat͡s̠uja,121_sharp
kamiu,25_youall
kokora,97_cloud
saɦenia,146_climb
tamam,78_father
eːku,52_leg
βuluna,72_feather
tutuβa,16_right
tas,419_salt
niaj,26_heshe
mauri,157_live
βirana,109_flower
moβat,4_four
pʷaleβen,34_how
tupuna ta ʔakae,80_wife
taroroj,133_near
manmanosŏ,177_breathe
wulum,41_hair
ʔanʔan,151_eat
jaːs,112_rope
lamane,73_man
isena,76_name
saβa,30_what
icerua,20_webothincl
limaraβetol,8_eight
malceo,64_worm
ʔutu,65_louse
taːciu,359_narrow
kamamrua,24_youboth
wae,311_if
laβaβana,38_below
kamamrua,21_webothexcl
βetia,182_say
lan,98_wind
pure,181_swell
tea,1_one
koko,152_drink
t͡s̠amaja,464_to_chew
woce,115_white
popori,145_turn
mania,180_squeeze
wotoa,175_fear
nop,87_lake
t͡s̠okia,184_stab
awe,29_nonot
sil,165_blow
aβuaβu,91_ash
tupuna talamane,79_husband
ɦet͡s̠a,117_green
ɦaw,107_wood
morara,125_painfulsick
rem,40_head
amarir,134_cold
paɦia,170_cut
mat͡s̠ina,118_yellow
komkom,315_know_understand
maːt͡s̠,62_fish
pilum,55_skin
loloaβ,103_woodsforest
usa,96_rain
la,202_at
taoso,127_bad
βilaɦia,99_thunder
moɦɪ,68_mosquito
taːcju,120_small
rauna,106_leaf
eβeβ,176_count
kaβŭ,340_fog
pupu,122_bluntdull
susum,77_mother
sule,92_stone
lulua,178_vomit
wanana,102_fruit
pej roro,286_flow
aβlalima,12_fifty
one,95_sand
taːpunua,456_thick
koru,135_dry
ʔanʔoro,166_burn
aroβia,183_scratch
tawawat,128_correcttrue
kalum,50_neck
tamamajniβ,457_thin
plenia,149_throw
sej,31_who
tiam,56_belly
pʷasu,142_sit
sŭmaj,139_come
maeto,114_black
ronoja,161_hear
ʔan mamaw,153_yawn
maβŭ,156_sleep
tawarese,124_old
asuasu,90_smoke
turia,167_sew
lanae,191_open
kaim,53_blood
taβanaj,126_good
renia,160_see
kuria,172_dig
wulia,185_buy
pesi,60_dog
mate,158_die
los mateja,159_kill
t͡s̠ile,100_lightning
t͡s̠amana susu,448_suck
kaunia,174_hold
pʷere,108_grass
laβoja,187_plant
memem,46_tongue
loto,154_spit
uru,163_laugh
punenia,150_hide
aβej,32_where
warina,104_root
tutun,483_hot
pʷapʷalio,186_steal
t͡ʃurpes,173_hunt
aβlatea,10_ten
irerara,27_theyall
jakae,74_woman
aːpu,89_fire
tarmotea,13_onehundred
βucina,70_tail
mauri,302_to_grow
alo̝n,37_above
rio,416_road
moran,81_day
niɦo,23_thou
kalnam,44_ear
pupʷet,426_short
susu,58_breast
pala,144_liedown
paraβ,328_long
komkom,458_to_think
poɦam,51_back
ponis,336_meat
icemara,22_weallincl
talawa,455_thatch
rataukua,306_person
pole ta kjukju,75_child
turi,141_stand
molimaraβe,6_six
βaraw,190_work
nonom,43_nose
molima,5_five
pʷara,67_spider
