Panas,English Translation
ponoina,162_sniffsmell
puruna,131_heavy
lolono,39_ininside
natur poroporo,155_dream
tarin,465_to_choose
t͡ʃoβi,143_fall
irarua,28_theyboth
βisa,33_when
βitiβiti,168_pound
taun,15_year
lulus,136_wet
narita,63_snake
βis,179_tieup
βiro,362_needle
tolu,3_three
ariβi,66_rat
aβania,36_that
taʔawas,258_fat
cenia,35_this
naraw,17_left
aleale,140_walk
tawtaβ,94_dust
talim,57_intestines
pʷilim,49_shoulder
βanua,111_house
t͡ʃano,86_water
t͡ʃaru,130_rotten
e pilaj cele,171_split
rua,2_two
kara,116_red
naʔat,121_sharp
kaniu,25_youall
t͡ʃot͡ʃo,97_cloud
saʔasaʔa,146_climb
tata,78_father
sariku,52_leg
βuluna,72_feather
tutua,16_right
taːs,419_salt
nie,26_heshe
nauri,157_live
βirana,109_flower
βaːti,4_four
βeno pʷele,34_how
nam koares,80_wife
cen teβuj,133_near
wut na nanananam,177_breathe
βulum,41_hair
ʔanʔan,151_eat
na aːs,112_rope
taut͡ʃo,73_man
esem,76_name
saβaʔao,30_what
it͡ʃerua,20_webothincl
raptol,8_eight
mat͡ʃleo,64_worm
utu,65_louse
taʔaot͡ʃo,359_narrow
kaniurua,24_youboth
werej,311_if
pana,38_below
kanajrua,21_webothexcl
werej,182_say
lan,98_wind
pure,181_swell
ese,1_one
koko,152_drink
t͡ʃamʷae,464_to_chew
sulu,115_white
poreniko,145_turn
mʷan,180_squeeze
nataʔo,175_fear
nop,87_lake
siʔe,184_stab
siʔosiʔo,29_nonot
laelan,165_blow
mʷajaβ,91_ash
nam wares,79_husband
et͡ʃa,117_green
ʔaw,107_wood
βarnas,125_painfulsick
pʷatum,40_head
naʔarir,134_cold
terej,170_cut
mʷat͡ʃina,118_yellow
tejtej,315_know_understand
naːt͡ʃi,62_fish
βinum,55_skin
lonoʔaw,103_woodsforest
usa,96_rain
is,202_at
βaskoj,127_bad
pʷirin,99_thunder
ʔatʔat,68_mosquito
taʔa siʔosiʔo,120_small
rauna,106_leaf
jeβjeβ,176_count
at͡ʃaβo,340_fog
pupu,122_bluntdull
mʷaj,77_mother
sula,92_stone
lua,178_vomit
wanana,102_fruit
t͡ʃano wura,286_flow
wuswus,95_sand
porotuʔa,456_thick
koru,135_dry
aβo kara,166_burn
ʔaroʔaroβ,183_scratch
tujmʷaʔo,128_correcttrue
t͡ʃolom,50_neck
t͡ʃaβinβin,457_thin
laʔapunin,149_throw
sej,31_who
tapʷanim,56_belly
siaβ,142_sit
alaw,139_come
loʔo,114_black
rone,161_hear
ʔan nanauβ,153_yawn
nunura,156_sleep
taʔatoʔotoʔo,124_old
aːsu,90_smoke
turuj,167_sew
tiβe,191_open
t͡ʃaim,53_blood
taʔamʷaʔo,126_good
ile,160_see
t͡ʃule,172_dig
βoli,185_buy
woj,60_dog
naːt,158_die
eβiti naʔatin,159_kill
βileʔ,100_lightning
im nasusu,448_suck
iːs,174_hold
palis,108_grass
laβo,187_plant
mimim,46_tongue
loto,154_spit
uru,163_laugh
t͡ʃenpunen,150_hide
βia,32_where
ʔorana,104_root
mʷamʷa,483_hot
pʷaliʔe,186_steal
mʷamʷas,173_hunt
sanaβul,10_ten
ira,27_theyall
laβina,74_woman
aːβi,89_fire
wit͡ʃina,70_tail
sasar,302_to_grow
saʔa,37_above
sala,416_road
ran,81_day
niko,23_thou
t͡ʃalnam,44_ear
putputu,426_short
susum,58_breast
pala,144_liedown
parawi,328_long
t͡ʃomina,458_to_think
taum,51_back
tanoso,336_meat
it͡ʃe,22_weallincl
aːto,455_thatch
taut͡ʃo,306_person
mʷarusu,75_child
tursaʔ,141_stand
linaraβe,6_six
βauma,190_work
nalsum,43_nose
lina,5_five
pʷara,67_spider
