Sakao,English Translation
mexeðp,130_rotten
tusɒr,171_split
tu,2_two
makar,116_red
meɣen,121_sharp
ɣej,25_youall
aðalan,97_cloud
røðp,146_climb
ðanan,78_father
ulex,52_leg
uløn,72_feather
jɛr,16_right
eðe xal,419_salt
ni,26_heshe
melxe,157_live
nyran,109_flower
jet,4_four
meðemi,34_how
wakœr hɶn,80_wife
pepir,133_near
xyn pa narŋɡym,177_breathe
ølyx,41_hair
ɣɛn,151_eat
ɛwe,112_rope
aeri,73_man
asi,76_name
aja,30_what
jøru,20_webothincl
retøl,8_eight
ɛsɛr,64_worm
nøð,65_louse
halkɾi,359_narrow
oru,24_youboth
we,311_if
lonotan,38_below
xamru,21_webothexcl
wɑrp,182_say
ɒxɒr,98_wind
møsøwp,181_swell
te,1_one
sym,152_drink
sɑmsɑm,464_to_chew
βox,115_white
rɛltyn,145_turn
ilp,180_squeeze
eβːre,175_fear
oroβyɾ,87_lake
syp,184_stab
meri,29_nonot
myxy,165_blow
ðœŋœ,91_ash
wɑri xɶn,79_husband
reɣeni,117_green
eɣeni,107_wood
βwe,125_painfulsick
yβðyx,40_head
korør,134_cold
top,170_cut
mɛnɛlja,118_yellow
ɣøðxeri,315_know_understand
ɛnɛs ɛðɛ,62_fish
lykyx,55_skin
wyð,103_woodsforest
otox,96_rain
la,202_at
meheð,127_bad
pryβal,99_thunder
ɔsøk,68_mosquito
mekɾi,120_small
ɛrɛn,106_leaf
jɛtpyn,176_count
emøɣø,340_fog
maβɣen,122_bluntdull
ðion,77_mother
ejeð,92_stone
uly,178_vomit
anyn,102_fruit
oro ɣejr,286_flow
ɣɑlyn,12_fifty
non,95_sand
meðːiɲe,456_thick
vip,135_dry
karmeɣen,166_burn
kœrœð,183_scratch
møtørøŋ,128_correcttrue
ørløx,50_neck
manaːra,457_thin
pitiørki,149_throw
xi,31_who
øðnøx,56_belly
rɑsu,142_sit
lam,139_come
βyr,114_black
amrox,161_hear
miaxme,153_yawn
mŋor,156_sleep
mesi,124_old
pyljø,90_smoke
tir,167_sew
rop,191_open
enekar,53_blood
βoxβox,126_good
mɣøð,160_see
ɣølp,172_dig
wølp,185_buy
pøs,60_dog
eneð,158_die
ilsøβ,159_kill
pøl,100_lightning
sip,448_suck
iryr,174_hold
ɛrɛmøs,108_grass
teɣir,187_plant
ønøx,46_tongue
korsym,154_spit
wyr,163_laugh
cerɣon,150_hide
jɛ,32_where
akrøn,104_root
cesyp,186_steal
msara,173_hunt
saɣyl,10_ten
jyr,27_theyall
aːkør,74_woman
akar,89_fire
terðati,13_onehundred
olœn,70_tail
rœscelip,302_to_grow
tylː,37_above
ahal,416_road
ɛrɛn,81_day
iː,23_thou
œβrøx,44_ear
pipej,426_short
isːi,58_breast
mrersu,144_liedown
pɛrɛ,328_long
eremrem,458_to_think
yvlyx,51_back
onɛð,336_meat
jɒr,22_weallincl
eretalu,455_thatch
aðŋøn,306_person
ɒxɒx,75_child
marier,141_stand
kora,6_six
jøm,190_work
eðelxyx,43_nose
køløn,5_five
aðal,67_spider
