TialeSauriki,English Translation
patuka,40_head
marmariβi,134_cold
koβule,170_cut
tamat̠͡s̠ina,118_yellow
komkomi,315_know_understand
maːt̠͡s̠,62_fish
βenβenuka,55_skin
loβeaw,103_woodsforest
usa,96_rain
la,202_at
taloklok,127_bad
prin,99_thunder
muj,68_mosquito
tacilecile,120_small
rao,106_leaf
koeβi,176_count
maraβ,340_fog
tamate,122_bluntdull
raːpʷiku,77_mother
sule,92_stone
kolulua,178_vomit
pajaw,102_fruit
pej taβuraβura,286_flow
wuswus,95_sand
taprono,456_thick
tamasamasa,135_dry
taone,166_burn
karkarumi,183_scratch
kuβaraβrea,128_correcttrue
konoka,50_neck
rokoroko,457_thin
koplej,149_throw
sej,31_who
tapaneka,56_belly
sio,142_sit
kowanoma,139_come
talo,114_black
paβrono,161_hear
lalana βaβa,153_yawn
malapoe,156_sleep
talalapa,124_old
asu,90_smoke
kotula,167_sew
koaːre,191_open
kaeka,53_blood
tamamasa,126_good
korerel,160_see
kokurŭ,172_dig
koβoli,185_buy
woj,60_dog
tenmate,158_die
korupuni,159_kill
βleβlej,100_lightning
tului,448_suck
kokao,174_hold
palis,108_grass
kolaβo,187_plant
mʷemeka,46_tongue
loto,154_spit
konisa,163_laugh
tani punaj,150_hide
aβene,32_where
arina,104_root
taβarun,483_hot
aroi,186_steal
kot͡ʃurwoj,173_hunt
ire,27_theyall
levine,74_woman
aːpu,89_fire
βicina,70_tail
tamauri,302_to_grow
aloni,37_above
sala,416_road
rani,81_day
iko,23_thou
kalnam,44_ear
taputputu,426_short
susuka,58_breast
konoromaloa,144_liedown
taparaβ,328_long
pipinis,458_to_think
suntauka,51_back
tăraβĭ,336_meat
ice,22_weallincl
aːto,455_thatch
ire,306_person
mera,75_child
koturi,141_stand
raβrua,6_six
βarea,190_work
lansuka,43_nose
limaraβe,5_five
para,67_spider
